               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.076981,             0.12757,           0.0074639,             0.80117,             0.53785,             0.62055,             0.32695,             0.07311,              0.1113,           0.0068226,            0.003862,            0.003862,            0.003862
                  64,            0.076998,             0.12774,           0.0074664,             0.79935,             0.53919,             0.62073,              0.3271,            0.073099,              0.1113,           0.0068213,            0.003763,            0.003763,            0.003763
                  65,            0.076808,             0.12792,           0.0074669,              0.7979,             0.54006,             0.62082,             0.32718,            0.073091,             0.11128,           0.0068204,            0.003664,            0.003664,            0.003664
                  66,            0.076869,             0.12809,           0.0074514,             0.80474,             0.53682,             0.62096,             0.32737,            0.073082,             0.11127,           0.0068189,            0.003565,            0.003565,            0.003565
                  67,             0.07716,             0.12838,           0.0074703,             0.80155,             0.53859,             0.62114,             0.32752,            0.073073,             0.11127,           0.0068174,            0.003466,            0.003466,            0.003466
                  68,            0.076811,             0.12719,           0.0074102,              0.8023,             0.53858,             0.62129,             0.32763,            0.073064,             0.11125,           0.0068172,            0.003367,            0.003367,            0.003367
                  69,            0.076658,             0.12773,           0.0073865,             0.80286,             0.53848,             0.62157,             0.32782,            0.073055,             0.11122,           0.0068159,            0.003268,            0.003268,            0.003268
                  70,            0.076646,             0.12763,           0.0074029,             0.80215,             0.53888,             0.62158,             0.32796,            0.073047,             0.11122,           0.0068147,            0.003169,            0.003169,            0.003169
                  71,             0.07686,             0.12707,           0.0074621,             0.80362,             0.53853,             0.62181,             0.32796,            0.073039,             0.11122,            0.006814,             0.00307,             0.00307,             0.00307
                  72,            0.076516,             0.12662,           0.0074084,             0.80425,             0.53845,             0.62195,             0.32822,             0.07303,              0.1112,           0.0068135,            0.002971,            0.002971,            0.002971
                  73,             0.07677,             0.12797,           0.0074129,             0.80463,             0.53835,             0.62216,             0.32834,            0.073021,             0.11119,           0.0068125,            0.002872,            0.002872,            0.002872
                  74,            0.076882,             0.12793,           0.0074366,             0.80378,             0.53893,             0.62224,             0.32842,            0.073013,             0.11117,           0.0068109,            0.002773,            0.002773,            0.002773
                  75,            0.076742,             0.12798,           0.0074082,             0.80338,             0.53928,             0.62248,             0.32855,            0.073006,             0.11117,           0.0068101,            0.002674,            0.002674,            0.002674
                  76,            0.076296,             0.12729,           0.0073614,              0.8027,             0.53967,              0.6226,             0.32861,               0.073,             0.11116,           0.0068109,            0.002575,            0.002575,            0.002575
                  77,            0.076551,             0.12721,           0.0073661,             0.80253,             0.53955,             0.62254,             0.32874,            0.072993,             0.11117,           0.0068107,            0.002476,            0.002476,            0.002476
                  78,            0.076655,             0.12683,           0.0074081,             0.80372,             0.53892,             0.62251,             0.32876,            0.072986,             0.11114,           0.0068104,            0.002377,            0.002377,            0.002377
